County,A10i,A21,B3B,incomegpnew,freq
Baringo,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Refused to Answer,1
Kisumu,Female,Secondary completed ,Employed,"KSh 10,001-20,000",3
Nairobi City,Female,Primary completed,Running own business/Self employed,"KSh 10,001-20,000",8
West Pokot,Male,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",2
Makueni,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",2
Lamu,Male,Primary completed,Running own business/Self employed,"KSh 10,001-20,000",6
Nakuru,Female,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",5
Garissa,Male,None ,Running own business/Self employed,"KSh 10,001-20,000",2
Kisii,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",4
Marsabit,Female,Primary completed,Employed,"KSh 5,001 - 10,000",1
Siaya,Male,Some secondary,Employed,"KSh 1,001 - 3,000",1
Murang'a,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Nyandarua,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Nyeri,Female,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",2
Taita-Taveta,Male,None ,Money / support from family / friends / spouse,Don't Know,1
Mombasa,Male,Primary completed,Running own business/Self employed,"KSh 20,001 - 50,000",1
Bomet,Female,Some secondary,Casual worker,Don't Know,1
Kakamega,Male,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Kitui,Female,None ,Casual worker,"KSh 5,001 - 10,000",2
Nyamira,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Kitui,Male,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",3
Migori,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Meru,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Murang'a,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",1
Marsabit,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",2
Isiolo,Female,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",12
Wajir,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Baringo,Female,None ,Casual worker,"KSh 3,001 - 5,000",1
Makueni,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Laikipia,Male,Primary completed,Employed,"KSh 10,001-20,000",2
Samburu,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Vihiga,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",3
Kericho,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",5
Isiolo,Male,Completed technical training after secondary school,Pension/Annuity,"KSh 10,001-20,000",1
Baringo,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Taita-Taveta,Female,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",2
Mombasa,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",4
Siaya,Male,Completed technical training after secondary school,Casual worker,"KSh 3,001 - 5,000",1
Kilifi,Female,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kericho,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Elgeyo-Marakwet,Male,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",4
Narok,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",4
Bungoma,Male,Some secondary,Employed,"KSh 3,001 - 5,000",4
Turkana,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",1
Trans Nzoia,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",5
Kiambu,Male,Some secondary,Casual worker,Don't Know,1
Nyeri,Male,Some secondary,Employed,"KSh 5,001 - 10,000",3
Isiolo,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",1
Vihiga,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kilifi,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",5
Homabay,Male,Don't know (DO NOT READ OUT),Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Vihiga,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",2
Embu,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Nyamira,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Nandi,Female,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Bomet,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Tana River,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",2
Trans Nzoia,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",3
Isiolo,Female,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Makueni,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Bomet,Female,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",2
Kiambu,Female,Some primary ,Money from  NGO / Government,"KSh 3,001 - 5,000",2
Meru,Female,Primary completed,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Garissa,Male,Some university,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Nakuru,Male,Primary completed,Employed,"KSh 5,001 - 10,000",2
Makueni,Female,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",4
Tharaka-Nithi,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Busia,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",8
Busia,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Kisii,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Machakos,Male,Some primary ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",4
Kajiado,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",7
Vihiga,Male,University completed ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kwale,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Trans Nzoia,Male,Primary completed,Running own business/Self employed,"KSh 20,001 - 50,000",2
Elgeyo-Marakwet,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",5
Lamu,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Nandi,Male,Some secondary,Employed,"KSh 5,001 - 10,000",1
Vihiga,Female,Some secondary,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Bomet,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",6
Murang'a,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Taita-Taveta,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Laikipia,Male,Some primary ,Casual worker,Don't Know,2
Bomet,Male,None ,Money / support from family / friends / spouse,Don't Know,3
Turkana,Male,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Kajiado,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Kilifi,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",3
Bomet,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Baringo,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Tana River,Male,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Kisii,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",5
Turkana,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Bomet,Male,Some primary ,Employed,"KSh 10,001-20,000",1
Uasin Gishu,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 50,001 - 100,000",1
Kitui,Female,None ,Pension/Annuity,"KSh 3,001 - 5,000",2
Nandi,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",3
Laikipia,Male,None ,Casual worker,"KSh 3,001 - 5,000",2
Narok,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Kwale,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Kwale,Male,None ,Casual worker,Don't Know,6
Mombasa,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Kiambu,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,6
Murang'a,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",3
Nyandarua,Male,Primary completed,Employed,"KSh 5,001 - 10,000",2
Kilifi,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Lamu,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",2
Lamu,Male,None ,Casual worker,"KSh 3,001 - 5,000",3
Elgeyo-Marakwet,Male,None ,Money / support from family / friends / spouse,Don't Know,2
Siaya,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",2
Nairobi City,Male,Some primary ,Casual worker,Don't Know,2
Kiambu,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Homabay,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Kajiado,Male,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Kilifi,Female,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Mandera,Female,Some secondary,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kakamega,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Kwale,Female,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Machakos,Male,Primary completed,Casual worker,"KSh 10,001-20,000",9
Kisii,Male,Some university,Casual worker,"KSh 3,001 - 5,000",1
Kwale,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Murang'a,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Nyeri,Male,Some technical training after secondary school,Money / support from family / friends / spouse,Don't Know,4
Uasin Gishu,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Meru,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",4
Trans Nzoia,Female,None ,Casual worker,"KSh 1 - 1,000",2
Kwale,Female,None ,Casual worker,"KSh 1 - 1,000",4
Bomet,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",8
Migori,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Elgeyo-Marakwet,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Kakamega,Female,Some primary ,Employed,"KSh 3,001 - 5,000",1
Samburu,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Bungoma,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Nandi,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,3
Mandera,Female,None ,Money / support from family / friends / spouse,"KSh 10,001-20,000",7
Kitui,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Uasin Gishu,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 50,001 - 100,000",1
Lamu,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",5
Nyamira,Male,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Kisumu,Female,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Garissa,Male,Secondary completed ,"Renting,  land, house/rooms, equipment","KSh 20,001 - 50,000",1
Lamu,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Kericho,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Bomet,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",4
Makueni,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",4
Makueni,Male,Completed technical training after secondary school,Casual worker,"KSh 20,001 - 50,000",1
Migori,Male,Some primary ,Casual worker,"KSh 1 - 1,000",6
Marsabit,Female,Some primary ,Casual worker,"KSh 20,001 - 50,000",1
Taita-Taveta,Male,Primary completed,Casual worker,"KSh 1 - 1,000",2
Bungoma,Male,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Mandera,Male,None ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",2
Nakuru,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Kwale,Female,Primary completed,Casual worker,"KSh 3,001 - 5,000",1
Kitui,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Kisii,Male,Primary completed,Running own business/Self employed,Refused to Answer,1
Tana River,Male,None ,Casual worker,"KSh 10,001-20,000",3
Kisumu,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",6
Kiambu,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",7
Kakamega,Female,University completed ,Casual worker,"KSh 5,001 - 10,000",1
Kirinyaga,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Machakos,Female,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",2
Lamu,Female,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Garissa,Male,None ,Money / support from family / friends / spouse,Refused to Answer,1
Makueni,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Isiolo,Male,Some primary ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Trans Nzoia,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",2
Makueni,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Siaya,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",7
Tharaka-Nithi,Female,Some secondary,"Renting,  land, house/rooms, equipment","KSh 5,001 - 10,000",1
Elgeyo-Marakwet,Male,Some technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Nakuru,Female,Completed technical training after secondary school,"Renting,  land, house/rooms, equipment","KSh 3,001 - 5,000",1
Kitui,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Kwale,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",7
Taita-Taveta,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",3
Kiambu,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Nyeri,Female,Primary completed,Employed,"KSh 5,001 - 10,000",4
Nyamira,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",3
Busia,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Kakamega,Female,None ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Embu,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Nyeri,Male,Primary completed,Casual worker,"KSh 10,001-20,000",2
Uasin Gishu,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,Don't Know,1
Tana River,Male,None ,Employed,"KSh 5,001 - 10,000",2
Bungoma,Male,Some secondary,Money from  NGO / Government,"KSh 3,001 - 5,000",1
Kericho,Female,Some technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Nyamira,Male,University completed ,Employed,"KSh 20,001 - 50,000",3
Isiolo,Female,Primary completed,Casual worker,"KSh 5,001 - 10,000",1
Kisii,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",6
Wajir,Female,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Nyamira,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",3
Kisumu,Male,Secondary completed ,Casual worker,"KSh 20,001 - 50,000",4
Kiambu,Female,Some primary ,Money from  NGO / Government,"KSh 1 - 1,000",1
Kilifi,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Makueni,Male,University completed ,Employed,"KSh 10,001-20,000",1
Meru,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",3
Migori,Male,Some secondary,Running own business/Self employed,"KSh 50,001 - 100,000",1
Laikipia,Male,Primary completed,Pension/Annuity,"KSh 5,001 - 10,000",1
Machakos,Female,Primary completed,"Renting,  land, house/rooms, equipment","KSh 5,001 - 10,000",1
Bomet,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
West Pokot,Female,Completed technical training after secondary school,Employed,"KSh 50,001 - 100,000",1
Murang'a,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Tharaka-Nithi,Male,Some primary ,Running own business/Self employed,Don't Know,1
Nandi,Male,Some technical training after secondary school,Employed,"KSh 10,001-20,000",1
Kiambu,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",3
Homabay,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Machakos,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Makueni,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",4
Bungoma,Female,Some primary ,Pension/Annuity,"KSh 1,001 - 3,000",1
Kakamega,Female,Some secondary,Employed,"KSh 3,001 - 5,000",2
Kwale,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Siaya,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Mandera,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Mandera,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Kiambu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Vihiga,Male,Secondary completed ,Pension/Annuity,"KSh 10,001-20,000",1
Marsabit,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",2
Uasin Gishu,Male,Some university,Running own business/Self employed,"KSh 20,001 - 50,000",1
Tharaka-Nithi,Male,None ,Money / support from family / friends / spouse,Don't Know,2
Murang'a,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",2
Bungoma,Male,Primary completed,Employed,"KSh 3,001 - 5,000",2
Kwale,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Trans Nzoia,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",3
Lamu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",5
Kilifi,Male,None ,Casual worker,"KSh 5,001 - 10,000",1
Kitui,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",2
Homabay,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 20,001 - 50,000",1
Nyamira,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Marsabit,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",8
Nandi,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Homabay,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Kwale,Female,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",5
Elgeyo-Marakwet,Female,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Nakuru,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,Don't Know,1
Garissa,Female,Primary completed,Casual worker,"KSh 5,001 - 10,000",2
Nairobi City,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Mombasa,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",5
Trans Nzoia,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Trans Nzoia,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Homabay,Male,University completed ,Employed,"KSh 20,001 - 50,000",4
Meru,Female,Primary completed,Casual worker,"KSh 5,001 - 10,000",4
Elgeyo-Marakwet,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Kisii,Male,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Makueni,Female,Primary completed,Casual worker,"KSh 3,001 - 5,000",3
Meru,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Kilifi,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Nakuru,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Baringo,Male,Primary completed,Casual worker,"KSh 10,001-20,000",2
Bomet,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Kisumu,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",4
Kakamega,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Embu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Kisii,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",5
Samburu,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Laikipia,Female,Primary completed,Casual worker,"KSh 5,001 - 10,000",4
Nyandarua,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",1
Meru,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Migori,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",4
Kiambu,Female,Don't know (DO NOT READ OUT),Money from  NGO / Government,"KSh 1,001 - 3,000",1
Narok,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Makueni,Male,University completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Vihiga,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",1
Mombasa,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",3
Kakamega,Male,Completed technical training after secondary school,Casual worker,"KSh 3,001 - 5,000",1
Embu,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Tharaka-Nithi,Female,Some technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Trans Nzoia,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",3
Kiambu,Female,None ,Running own business/Self employed,"KSh 10,001-20,000",1
Meru,Male,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",7
West Pokot,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Kwale,Female,None ,"Renting,  land, house/rooms, equipment","KSh 10,001-20,000",1
Uasin Gishu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",5
Siaya,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Lamu,Male,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",4
Nyamira,Female,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",5
Elgeyo-Marakwet,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Bomet,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 50,001 - 100,000",1
Machakos,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Nyeri,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Kilifi,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Kericho,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,7
Kiambu,Male,University completed ,Employed,Don't Know,1
Nandi,Female,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",2
Siaya,Female,None ,Running own business/Self employed,"KSh 1 - 1,000",1
Narok,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Laikipia,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",3
Nakuru,Female,Some secondary,Casual worker,"KSh 1 - 1,000",1
Vihiga,Female,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",7
Kisumu,Male,Secondary completed ,Employed,"KSh 10,001-20,000",2
Kwale,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",1
Taita-Taveta,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",1
Makueni,Female,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",4
Embu,Male,Secondary completed ,Employed,"KSh 10,001-20,000",1
Migori,Female,Primary completed,Casual worker,"KSh 3,001 - 5,000",4
Kisii,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",5
Kajiado,Male,Some secondary,Casual worker,"KSh 10,001-20,000",2
Lamu,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Busia,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Turkana,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Samburu,Male,None ,Casual worker,"KSh 1 - 1,000",1
Siaya,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Bomet,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Busia,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",5
Uasin Gishu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",8
Nandi,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Bungoma,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Taita-Taveta,Male,Some primary ,Casual worker,"KSh 1 - 1,000",1
Mandera,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
West Pokot,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",6
Homabay,Female,Some secondary,Employed,"KSh 5,001 - 10,000",1
Isiolo,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Kilifi,Female,Refused to Answer (DO NOT READ OUT),Casual worker,"KSh 1 - 1,000",1
Laikipia,Female,Primary completed,Employed,"KSh 5,001 - 10,000",1
Nakuru,Male,Some university,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Nyamira,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Kisii,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Kakamega,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",2
Kisumu,Male,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",2
Nyeri,Male,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",2
